TRANSACTION ID,DATE,TRANSACTION DETAILS,DESCRIPTION,CATEGORY,PAYMENT METHOD, WITHDRAWAL AMT , DEPOSIT AMT 
TRX20220328123461,1-Jan-24,Fund Transfer From Bank Rakyat,Transfer of funds from Bank Rakyat,Income/Salary,Bank transfer,,"  100,000.00 "
TRX20220328123462,1-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,"  50,000.00 "
TRX20220328123463,1-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  772.00 ,
TRX20220328123464,1-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  42.00 ,
TRX20220328123465,1-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  599.00 ,
TRX20220328123466,1-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment ,  315.00 ,
TRX20220328123467,1-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  871.00 ,
TRX20220328123468,2-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  970.00 ,
TRX20220328123469,2-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  675.00 ,
TRX20220328123470,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  214.00 ,
TRX20220328123471,2-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  813.00 ,
TRX20220328123472,2-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  50.00 ,
TRX20220328123473,2-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment ,  378.00 ,
TRX20220328123474,3-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  247.00 ,
TRX20220328123475,3-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,  42.00 ,
TRX20220328123476,3-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  889.00 ,
TRX20220328123477,3-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  605.00 ,
TRX20220328123478,3-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,"  4,000.00 "
TRX20220328123479,3-Jan-24,Grocery Shopping,Expenses for weekly grocery shopping,Groceries,Debit Card,  250.00 ,
TRX20220328123480,3-Jan-24,Internet Subscription,Monthly subscription fee for internet service,Utilities,Direct debit,  60.00 ,
TRX20220328123481,3-Jan-24,Mobile Phone Bill,Monthly bill for mobile phone usage,Utilities,Online banking,  40.00 ,
TRX20220328123482,3-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  831.00 ,
TRX20220328123483,3-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,  189.00 ,
TRX20220328123484,3-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  812.00 ,
TRX20220328123485,3-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  326.00 ,
TRX20220328123486,4-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  178.00 ,
TRX20220328123487,4-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  91.00 ,
TRX20220328123488,4-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  12.00 ,
TRX20220328123489,4-Jan-24,Car Insurance,Annual car insurance premium,Insurance,Bank transfer,"  1,200.00 ",
TRX20220328123490,4-Jan-24,Dining Out,Expenses for dining out,Dining,Cash,  80.00 ,
TRX20220328123491,4-Jan-24,Gym Membership,Monthly membership fee for gym,Health & Fitness,Debit Card,  70.00 ,
TRX20220328123492,5-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,"  20,000.00 "
TRX20220328123493,5-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  193.00 ,
TRX20220328123494,5-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,  830.00 ,
TRX20220328123495,5-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment ,  56.00 ,
