TRANSACTION ID,DATE,TRANSACTION DETAILS,DESCRIPTION,CATEGORY,PAYMENT METHOD, WITHDRAWAL AMT , DEPOSIT AMT 
TRX20220330124061,1-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,"  100,000.00 "
TRX20220330124062,1-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  532.00 ,
TRX20220330124063,1-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  892.00 ,
TRX20220330124064,1-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  47.00 ,
TRX20220330124065,1-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  431.00 ,
TRX20220330124062,1-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  532.00 ,
TRX20220330124064,1-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  47.00 ,
TRX20220330124065,1-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  431.00 ,
TRX20220330124064,1-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  47.00 ,
TRX20220330124062,1-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  532.00 ,
TRX20220330124066,1-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,  810.00 ,
TRX20220330124066,1-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,  810.00 ,
TRX20220330124065,1-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  431.00 ,
TRX20220330124065,1-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  431.00 ,
TRX20220330124065,1-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  431.00 ,
TRX20220330124067,1-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  560.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  635.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  635.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  635.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  635.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  635.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  635.00 ,
TRX20220330124073,2-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  367.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  635.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  635.00 ,
TRX20220330124068,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  921.00 ,
TRX20220330124073,2-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  367.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  635.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  635.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  635.00 ,
TRX20220330124068,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  921.00 ,
TRX20220330124065,2-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  431.00 ,
TRX20220330124073,2-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  367.00 ,
TRX20220330124072,2-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  193.00 ,
TRX20220330124073,2-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  367.00 ,
TRX20220330124068,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  921.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  635.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  635.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  635.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,635,
TRX20220330124073,2-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,  367.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  635.00 ,
TRX20220330124070,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  635.00 ,
TRX20220330124075,3-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  560.00 ,
TRX20220330124075,3-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  560.00 ,
TRX20220330124075,3-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  560.00 ,
TRX20220330124070,3-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  635.00 ,
TRX20220330124075,3-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  560.00 ,
TRX20220330124074,3-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  684.00 ,
TRX20220330124074,3-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  684.00 ,
TRX20220330124075,3-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  560.00 ,
TRX20220330124075,3-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  560.00 ,
TRX20220330124075,3-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  560.00 ,
TRX20220330124080,4-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  565.50 ,
TRX20220330124086,5-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  644.00 ,
TRX20220330124086,5-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  644.00 ,
TRX20220330124086,5-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  644.00 ,
TRX20220330124090,6-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  17.00 ,
TRX20220330124091,6-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  64.00 ,
TRX20220330124091,6-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  64.00 ,
TRX20220330124092,6-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  257.00 ,
TRX20220330124090,6-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  17.00 ,
TRX20220330124090,6-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  17.00 ,
TRX20220330124098,6-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  498.00 ,
TRX20220330124091,6-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  64.00 ,
TRX20220330124092,6-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  257.00 ,
TRX20220330124095,6-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  668.00 ,
TRX20220330124090,6-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  17.00 ,
TRX20220330124098,6-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  498.00 ,
TRX20220330124092,6-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  257.00 ,
TRX20220330124092,6-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  257.00 ,
TRX20220330124099,6-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,989,
TRX20220330124098,6-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  498.00 ,
TRX20220330124099,6-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  989.00 ,
TRX20220330124095,6-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  668.00 ,
TRX20220330124103,7-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  21.00 ,
TRX20220330124104,7-Jan-24,Property Maintenance,,Other Expenses,,  899.00 ,
TRX20220330124104,7-Jan-24,Property Maintenance,,Other Expenses,,  899.00 ,
TRX20220330124103,7-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  21.00 ,
TRX20220330124104,7-Jan-24,Property Maintenance,,Other Expenses,,  899.00 ,
TRX20220330124104,7-Jan-24,Property Maintenance,,Other Expenses,,  899.00 ,
TRX20220330124107,7-Jan-24,Property Maintenance,,Other Expenses,,  812.00 ,
TRX20220330124103,7-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  21.00 ,
TRX20220330124105,7-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  416.00 ,
TRX20220330124107,7-Jan-24,Property Maintenance,,Other Expenses,,  812.00 ,
TRX20220330124103,7-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  21.00 ,
TRX20220330124104,7-Jan-24,Property Maintenance,,Other Expenses,,  899.00 ,
TRX20220330124104,7-Jan-24,Property Maintenance,,Other Expenses,,  899.00 ,
TRX20220330124110,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  413.00 ,
TRX20220330124117,8-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  472.00 ,
TRX20220330124111,8-Jan-24,Property Maintenance,,Other Expenses,,  492.00 ,
TRX20220330124114,8-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  176.00 ,
TRX20220330124110,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  413.00 ,
TRX20220330124117,8-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  472.00 ,
TRX20220330124110,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,413,
TRX20220330124119,8-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  57.00 ,
TRX20220330124118,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  372.00 ,
TRX20220330124119,8-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  57.00 ,
TRX20220330124110,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  413.00 ,
TRX20220330124110,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  413.00 ,
TRX20220330124114,8-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  176.00 ,
TRX20220330124115,8-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  607.00 ,
TRX20220330124118,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  372.00 ,
TRX20220330124111,8-Jan-24,Property Maintenance,,Other Expenses,,  492.00 ,
TRX20220330124114,8-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  176.00 ,
TRX20220330124115,8-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  607.00 ,
TRX20220330124112,8-Jan-24,Fund Transfer From Bank Rakyat,Transfer of funds from Bank Rakyat,Income/Salary,Bank transfer,,"  50,000.00 "
TRX20220330124110,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  413.00 ,
TRX20220330124115,8-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  607.00 ,
TRX20220330124110,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  413.00 ,
TRX20220330124118,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  372.00 ,
TRX20220330124111,8-Jan-24,Property Maintenance,,Other Expenses,,  492.00 ,
TRX20220330124110,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,413,
TRX20220330124118,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  372.00 ,
TRX20220330124119,8-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  57.00 ,
TRX20220330124110,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  413.00 ,
TRX20220330124111,8-Jan-24,Property Maintenance,,Other Expenses,,  492.00 ,
TRX20220330124123,9-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  243.38 ,
TRX20220330124123,9-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  243.38 ,
