TRANSACTION ID,DATE,TRANSACTION DETAILS,DESCRIPTION,CATEGORY,PAYMENT METHOD, WITHDRAWAL AMT , DEPOSIT AMT 
TRX20220329124217,1-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  445.00 ,
TRX20220329124423,1-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,"  200,000.00 "
TRX20220329124483,1-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,  265.00 ,
TRX20220329124481,1-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  306.00 ,
TRX20220329124487,1-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  202.00 ,
TRX20220329124430,1-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,  830.00 ,
TRX20220329124581,1-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,  265.00 ,
TRX20220329124576,1-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  202.00 ,
TRX20220329124127,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  108.00 ,
TRX20220329124070,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  108.00 ,
TRX20220329124471,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  626.00 ,
TRX20220329124481,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  108.00 ,
TRX20220329124450,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  626.00 ,
TRX20220329124418,2-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,  280.00 ,
TRX20220329124174,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  108.00 ,
TRX20220329124353,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  626.00 ,
TRX20220329124481,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  626.00 ,
TRX20220329124287,3-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  605.00 ,
TRX20220329124302,3-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  605.00 ,
TRX20220329124074,3-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  813.00 ,
TRX20220329124107,3-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  813.00 ,
TRX20220329124482,3-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  675.00 ,
TRX20220329124534,3-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  605.00 ,
TRX20220329124383,3-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,  42.00 ,
TRX20220329124463,3-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  813.00 ,
TRX20220329124264,3-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  605.00 ,
TRX20220329124105,3-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,605,
TRX20220329124211,4-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  970.00 ,
TRX20220329124259,4-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  970.00 ,
TRX20220329124333,4-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  42.00 ,
TRX20220329124211,4-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,  970.00 ,
TRX20220329124121,4-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  42.00 ,
TRX20220329124576,4-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  214.00 ,
TRX20220329124197,4-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,42,
TRX20220329124544,4-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970,
TRX20220329124333,4-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  42.00 ,
TRX20220329124251,5-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  669.00 ,
TRX20220329124539,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  77.00 ,
TRX20220329124577,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  77.00 ,
TRX20220329124377,5-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  992.00 ,
TRX20220329124358,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  77.00 ,
TRX20220329124189,5-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,669,
TRX20220329124524,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  309.00 ,
TRX20220329124217,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  77.00 ,
TRX20220329124515,5-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  669.00 ,
TRX20220329124097,5-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,  46.00 ,
TRX20220329124577,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  77.00 ,
TRX20220329124194,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  77.00 ,
TRX20220329124559,6-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,  138.00 ,
TRX20220329124407,6-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  198.00 ,
TRX20220329124569,6-Jan-24,Property Maintenance,,Other Expenses,,  550.00 ,
TRX20220329124514,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  639.00 ,
TRX20220329124085,6-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,  654.00 ,
TRX20220329124151,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  731.00 ,
TRX20220329124460,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  18.00 ,
TRX20220329124286,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,"  8,130.00 "
TRX20220329124451,6-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,  816.00 ,
TRX20220329124073,6-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,  654.00 ,
TRX20220329124188,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  639.00 ,
TRX20220329124133,6-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,  816.00 ,
TRX20220329124500,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  639.00 ,
TRX20220329124163,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  18.00 ,
TRX20220329124312,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  667.00 
TRX20220329124545,6-Jan-24,Property Maintenance,,Other Expenses,,  550.00 ,
TRX20220329124569,6-Jan-24,Property Maintenance,,Other Expenses,,  550.00 ,
TRX20220329124512,6-Jan-24,Property Maintenance,,Other Expenses,,550,
TRX20220329124455,6-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,654,
TRX20220329124188,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  639.00 ,
TRX20220329124183,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  639.00 ,
TRX20220329124147,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,"  1,500.00 "
TRX20220329124116,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  639.00 ,
TRX20220329124108,6-Jan-24,Property Maintenance,,Other Expenses,,  550.00 ,
TRX20220329124545,6-Jan-24,Property Maintenance,,Other Expenses,,  550.00 ,
TRX20220329124387,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  18.00 ,
TRX20220329124447,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,"  1,500.00 "
TRX20220329124164,7-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  989.00 ,
TRX20220329124405,7-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  693.00 ,
TRX20220329124351,7-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  989.00 ,
TRX20220329124111,7-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  206.00 ,
TRX20220329124080,7-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  722.00 ,
TRX20220329124291,7-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  722.00 ,
TRX20220329124221,7-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  989.00 ,
TRX20220329124531,7-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,206,
TRX20220329124154,7-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  989.00 ,
TRX20220329124272,7-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  206.00 ,
TRX20220329124074,7-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  722.00 ,
TRX20220329124165,7-Jan-24,Property Maintenance,,Other Expenses,,  492.00 ,
TRX20220329124538,7-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,  722.00 ,
TRX20220329124447,7-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,"  1,200.00 "
TRX20220329124071,7-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  989.00 ,
TRX20220329124288,7-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  989.00 ,
TRX20220329124447,7-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,"  1,200.00 "
TRX20220329124401,7-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  939.00 ,
TRX20220329124083,8-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  61.00 ,
TRX20220329124455,8-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,  509.00 ,
TRX20220329124346,8-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  660.00 ,
TRX20220329124254,8-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  707.00 ,
TRX20220329124547,8-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  117.00 ,
TRX20220329124173,8-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  660.00 ,
TRX20220329124124,8-Jan-24,Property Maintenance,,Other Expenses,,  322.00 ,
TRX20220329124193,8-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  21.00 ,
TRX20220329124434,8-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  61.00 ,
TRX20220329124188,8-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  764.00 ,
TRX20220329124555,8-Jan-24,Property Maintenance,,Other Expenses,,  322.00 ,
TRX20220329124126,8-Jan-24,Property Maintenance,,Other Expenses,,  322.00 ,
TRX20220329124291,8-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  707.00 ,
TRX20220329124442,8-Jan-24,Property Maintenance,,Other Expenses,,  322.00 ,
TRX20220329124536,8-Jan-24,Property Maintenance,,Other Expenses,,  322.00 ,
TRX20220329124482,8-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  707.00 ,
TRX20220329124092,8-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  764.00 ,
TRX20220329124319,8-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  61.00 ,
TRX20220329124142,8-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,  141.00 ,
TRX20220329124527,8-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  141.00 ,
TRX20220329124212,8-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  61.00 ,
TRX20220329124346,8-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,  660.00 ,
TRX20220329124439,8-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  21.00 ,
