TRANSACTION ID,DATE,TRANSACTION DETAILS,DESCRIPTION,CATEGORY,PAYMENT METHOD, WITHDRAWAL AMT , DEPOSIT AMT 
TRX20220331124061,1-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,"  200,000.00 "
TRX20220331124062,1-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,  753.00 ,
TRX20220331124063,1-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,"  1,800.00 "
TRX20220331124064,1-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  957.00 ,
TRX20220331124065,1-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  675.00 ,
TRX20220331124066,1-Jan-24,Home Ownership,,Other Expenses,,  44.00 ,
TRX20220331124067,1-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  321.00 ,
TRX20220331124068,1-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  447.43 ,
TRX20220331124069,1-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,  89.00 ,
TRX20220331124070,1-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,320.04,
TRX20220331124071,1-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,,  143.00 ,
TRX20220331124072,1-Jan-24,Property Maintenance,,Other Expenses,,  899.00 ,
TRX20220331124073,1-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,  63.00 ,
TRX20220331124074,1-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,  758.21 ,
TRX20220331124075,2-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,  669.00 ,
TRX20220331124076,2-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,  667.00 
TRX20220331124077,2-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,  38.00 ,
TRX20220331124078,2-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  659.00 ,
TRX20220331124079,2-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,  894.00 ,
TRX20220331124080,2-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  385.00 ,
TRX20220331124081,2-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,  96.00 ,
TRX20220331124082,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,  214.00 ,
TRX20220331124083,2-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,  72.00 ,
TRX20220331124084,2-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,  465.69 ,
TRX20220331124085,2-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,  97.00 ,
TRX20220331124086,2-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,  102.00 ,
TRX20220331124087,2-Jan-24,Home Ownership,,Other Expenses,,  67.00 ,
TRX20220331124088,2-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,  56.00 ,
TRX20220331124089,2-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,  392.90 ,
